title,salary,city,job,publish_date,requirements,responsibilities,schedule,experience,employment,url
Технический специалист (IT),200000 - 300000 KZT,Костанай,Sulpak,11-07-2023,Образование или опыт работы в сфере IT. Желание работать с людьми. Желание учиться новому.,"Установка программного обеспечения. Кассовые операции. Настройка цифровой техники. Оформление доставки и установки товара. Оформление возврата, обмена товара. Выдача интернет-заказов. ",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83271900
Специалист IT,,Уральск,Инфинити Орда,10-07-2023,Опыт работы с программой R-Keeper. Опыта работы на аналогичной должности от 3 лет. Опыта установки и настройки ОС Windows...,"Администрирование Windows серверов 2008 R2, 2012 R2, 2016-2019. Администрирование Next Cloud, Cloud Linux. Настройка Wi-Fi сети...",,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/83198850
Специалист по IT,,Шымкент,T.A.S.-Медиа,01-07-2023,"Специальное образование, опыт работы в IT сфере. Навыки работы с серверным оборудованием, локальными сетями. Знание аппаратной части персональных компьютеров, умение...","Настройка сетевого оборудования. Монтажные работы (проведение проводки, телефонной связи и т.п). Обслуживание ПК, оргтехники. Обслуживание систем Видеонаблюдения.",,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/82865336
Специалист IT отдела,120000 KZT,Туркестан,Азия Сервис-Шымкент,04-07-2023,"Должен знать: Принципы работы OS Microsoft Windows. Технико-эксплуатационные характеристики, конструктивные особенности назначение и режимы работы оборудования, правила его технической...",Техническая поддержка пользователей. Обслуживание персональных компьютеров. Подключение и настройка периферийного оборудования. Заправка картриджей. Видеонаблюдение. Пожарно-охранная сигнализация. Принципы работы и...,,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/82945823
IT-специалист,200000 - 200000 KZT,Актау,Алтын Алма,12-07-2023,"Свободная установка ПО. Знание и возможности настройки ПО бухгалтерской и налоговой отчётности. Знание сетевых коммуникаций. Знание программ Windows, Office, налоговые...","Обеспечивать и поддерживать работоспособность сетевых коммуникаций, компьютерной и орг. техники, программное обеспечение Налоговой отчётности.",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/82096139
Специалист по IT,150000 - 170000 KZT,Шымкент,CG Food Central Asia,10-07-2023,Опыт работы не менее 3-х лет в должности IT-<highlighttext>специалиста</highlighttext>. Основы администрирования серверов 1С. Знание следующих видов оборудования...,Поддержание внутренней и внешней сети офиса организации в рабочем состоянии. Установка и настройка серверного оборудования. Администрирование программы «1 С Бухгалтерия...,,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/83198814
Специалист по IT,,Караганда,ALS Казгеохимия,23-07-2023,Опыт работы в сфере IT технологий не менее 3 лет. Высшее профессиональное или среднее техническое образование (информационные системы в бизнесе...,Контроль и установку программного обеспечения (software control & distribution). Управление заявками пользователей на обслуживание (incident management). Управление изменениями (change management): управление...,,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/83284843
Технический специалист (IT),200000 - 300000 KZT,Алматы,Sulpak,29-06-2023,Образование или опыт работы в сфере IT. Желание работать с людьми. Желание учиться новому.,"Установка программного обеспечения. Кассовые операции. Настройка цифровой техники. Оформление доставки и установки товара. Оформление возврата, обмена товара. Выдача интернет-заказов. ",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/82738893
Automation Specialist (IT Specialist),,Хромтау,Восход-Oriel,14-07-2023,"Bachelor’s degree in Electrical/Electronics Engineering, Computer Engineering or related fields. Minimum 2 years of work experience in low...","Managing the wiring, installation, testing and commissioning processes of electronic systems. Creating the calendars of the projects under his/her...",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83441313
Технический специалист (IT),180000 - 250000 KZT,Семей,Sulpak,17-07-2023,Образование или опыт работы в сфере IT. Желание работать с людьми. Желание учиться новому.,"Установка программного обеспечения. Кассовые операции. Настройка цифровой техники. Оформление доставки и установки товара. Оформление возврата, обмена товара. Выдача интернет-заказов. ",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83558170
